College Name,State,City,College Type,Rating,Average Fees,Campus Size,Total Faculty,Courses,Facilities,Genders Accepted,Established Year
Indian Institute of Technology Bombay,Maharashtra,Mumbai,Public/Government,4.5,200000,550 Acres,620,B.Tech Computer Science Engineering;B.Tech Electrical Engineering;B.Tech Mechanical Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1958
Indian Institute of Technology Delhi,Delhi,New Delhi,Public/Government,4.6,200000,320 Acres,580,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Chemical Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1961
Indian Institute of Technology Madras,Tamil Nadu,Chennai,Public/Government,4.7,200000,620 Acres,600,B.Tech Computer Science Engineering;B.Tech Aerospace Engineering;B.Tech Ocean Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1959
Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,Public/Government,4.4,200000,2100 Acres,700,B.Tech Computer Science Engineering;B.Tech Architecture;B.Tech Mining Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1951
Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,Public/Government,4.5,200000,1055 Acres,540,B.Tech Computer Science Engineering;B.Tech Biological Sciences;B.Tech Earth Sciences;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1959
Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,Public/Government,4.3,200000,365 Acres,510,B.Tech Computer Science Engineering;B.Tech Biotechnology;B.Tech Paper Technology;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1847
National Institute of Technology Trichy,Tamil Nadu,Trichy,Public/Government,3.9,90000,800 Acres,460,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Production Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1964
National Institute of Technology Warangal,Telangana,Warangal,Public/Government,3.8,90000,450 Acres,430,B.Tech Computer Science Engineering;B.Tech Metallurgy;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1959
National Institute of Technology Surathkal,Karnataka,Mangalore,Public/Government,3.7,90000,295 Acres,410,B.Tech Computer Science Engineering;B.Tech Information Technology;B.Tech Mining Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1960
National Institute of Technology Rourkela,Odisha,Rourkela,Public/Government,3.8,90000,647 Acres,370,B.Tech Computer Science Engineering;B.Tech Biomedical Engineering;B.Tech Ceramic Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1961
BITS Pilani,Rajasthan,Pilani,Private,4.2,450000,328 Acres,480,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1964
BITS Hyderabad,Telangana,Hyderabad,Private,4.0,480000,200 Acres,350,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2008
BITS Goa,Goa,Goa,Private,3.9,480000,180 Acres,280,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2004
VIT Vellore,Tamil Nadu,Vellore,Private,3.6,195000,372 Acres,4500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1984
Manipal Institute of Technology,Karnataka,Manipal,Private,3.5,350000,175 Acres,1000,B.Tech Computer Science Engineering;B.Tech Information Technology;B.Tech Biomedical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1957
SRM Institute of Science and Technology,Tamil Nadu,Chennai,Private,3.3,200000,250 Acres,3500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Biotechnology;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1985
Thapar Institute of Engineering,Punjab,Patiala,Private,3.7,350000,250 Acres,600,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1956
Delhi Technological University,Delhi,New Delhi,Public/Government,3.6,100000,164 Acres,450,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Environmental Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1941
Netaji Subhas University of Technology,Delhi,New Delhi,Public/Government,3.5,100000,145 Acres,320,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Instrumentation Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1983
BMS College of Engineering,Karnataka,Bengaluru,Private,3.83,71000,15 Acres,298,BE Civil Engineering;BE Computer Science;BE Electronics;BE Mechanical;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria,Co-Ed,1946
RV College of Engineering,Karnataka,Bengaluru,Private,3.7,95000,18 Acres,310,BE Computer Science;BE Electronics;BE Mechanical;BE Civil;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi,Co-Ed,1963
PES University,Karnataka,Bengaluru,Private,3.6,300000,8 Acres,750,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1972
Amrita School of Engineering,Tamil Nadu,Coimbatore,Private,3.4,180000,180 Acres,1200,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1994
PSG College of Technology,Tamil Nadu,Coimbatore,Private,3.5,100000,45 Acres,580,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Textile Technology;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1951
Jadavpur University,West Bengal,Kolkata,Public/Government,3.8,30000,90 Acres,500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Chemical Engineering;M.Tech;PhD,Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1955
Institute of Chemical Technology,Maharashtra,Mumbai,Public/Government,3.9,50000,18 Acres,180,B.Tech Chemical Engineering;B.Tech Pharmaceutical Chemistry;B.Tech Food Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1933
College of Engineering Pune,Maharashtra,Pune,Public/Government,3.7,80000,50 Acres,350,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Civil Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1854
VJTI Mumbai,Maharashtra,Mumbai,Public/Government,3.6,65000,25 Acres,300,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi,Co-Ed,1887
Sardar Vallabhbhai National Institute of Technology,Gujarat,Surat,Public/Government,3.5,90000,232 Acres,380,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1961
Motilal Nehru National Institute of Technology,Uttar Pradesh,Prayagraj,Public/Government,3.6,90000,222 Acres,400,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1961
Maulana Azad National Institute of Technology,Madhya Pradesh,Bhopal,Public/Government,3.4,90000,650 Acres,350,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Electronics Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1960
IIIT Hyderabad,Telangana,Hyderabad,Public/Government,4.1,250000,65 Acres,120,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1998
IIIT Bangalore,Karnataka,Bengaluru,Private,3.9,380000,5 Acres,150,B.Tech Computer Science Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Library;Cafeteria;Wi-Fi;Labs,Co-Ed,1999
Amity University,Uttar Pradesh,Noida,Private,3.1,280000,200 Acres,2000,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2005
Lovely Professional University,Punjab,Phagwara,Private,3.0,150000,600 Acres,6000,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2005
Chandigarh University,Punjab,Chandigarh,Private,3.2,170000,200 Acres,2500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2012
KIIT University,Odisha,Bhubaneswar,Private,3.3,330000,25 Acres,1100,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Civil Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1992
Vellore Institute of Technology Chennai,Tamil Nadu,Chennai,Private,3.5,195000,130 Acres,1500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Bioengineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2010
Anna University,Tamil Nadu,Chennai,Public/Government,3.5,70000,180 Acres,900,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Chemical Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1978
Osmania University College of Engineering,Telangana,Hyderabad,Public/Government,3.3,50000,1600 Acres,400,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1929
International Institute of Information Technology Hyderabad,Telangana,Hyderabad,Public/Government,4.0,250000,66 Acres,85,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2001
